country,prompt,topic,pew_rating,pew_score,gpt3_score_mean,gpt_var,repeat
Russia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6285140562248996, 'Not a moral issue': 0.19176706827309237, 'Morally unacceptable': 0.07028112449799197}",0.5582329317269077,0.2,0.16000000000000006,5
Britain,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6284584980237155, 'Not a moral issue': 0.30533596837944665, 'Morally unacceptable': 0.030632411067193676}",0.5978260869565217,0.2,0.16000000000000006,5
Turkey,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.408, 'Not a moral issue': 0.226, 'Morally unacceptable': 0.21}",0.19799999999999998,0.2,0.16000000000000006,5
Greece,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.445, 'Not a moral issue': 0.334, 'Morally unacceptable': 0.142}",0.30300000000000005,0.2,0.16000000000000006,5
Egypt,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.35, 'Not a moral issue': 0.361, 'Morally unacceptable': 0.067}",0.283,0.2,0.16000000000000006,5
Poland,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.47875, 'Not a moral issue': 0.24125, 'Morally unacceptable': 0.16625}",0.3125,0.2,0.16000000000000006,5
Senegal,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.5125, 'Not a moral issue': 0.11375, 'Morally unacceptable': 0.28125}",0.23124999999999996,0.2,0.16000000000000006,5
Italy,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6063348416289592, 'Not a moral issue': 0.29321266968325793, 'Morally unacceptable': 0.048868778280542986}",0.5574660633484162,0.2,0.16000000000000006,5
Brazil,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.7895833333333333, 'Not a moral issue': 0.11354166666666667, 'Morally unacceptable': 0.08020833333333334}",0.709375,0.2,0.16000000000000006,5
Lebanon,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.343, 'Not a moral issue': 0.306, 'Morally unacceptable': 0.127}",0.21600000000000003,0.2,0.16000000000000006,5
Nigeria,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.18525703200775945, 'Not a moral issue': 0.1367604267701261, 'Morally unacceptable': 0.5286129970902037}",-0.34335596508244426,0.2,0.16000000000000006,5
Japan,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.7071428571428572, 'Not a moral issue': 0.2057142857142857, 'Morally unacceptable': 0.045714285714285714}",0.6614285714285715,0.2,0.16000000000000006,5
Malaysia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.21532846715328466, 'Not a moral issue': 0.23357664233576642, 'Morally unacceptable': 0.38929440389294406}",-0.1739659367396594,0.2,0.16000000000000006,5
Kenya,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.47117794486215536, 'Not a moral issue': 0.11403508771929824, 'Morally unacceptable': 0.32456140350877194}",0.14661654135338342,0.2,0.16000000000000006,5
Indonesia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.644, 'Not a moral issue': 0.152, 'Morally unacceptable': 0.103}",0.541,0.2,0.16000000000000006,5
Uganda,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.505, 'Not a moral issue': 0.055, 'Morally unacceptable': 0.38125}",0.12375000000000003,0.2,0.16000000000000006,5
Jordan,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.375, 'Not a moral issue': 0.355, 'Morally unacceptable': 0.064}",0.311,0.2,0.16000000000000006,5
Argentina,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6910866910866911, 'Not a moral issue': 0.22466422466422467, 'Morally unacceptable': 0.05860805860805861}",0.6324786324786325,0.2,0.16000000000000006,5
Philippines,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.599502487562189, 'Not a moral issue': 0.0945273631840796, 'Morally unacceptable': 0.2935323383084577}",0.30597014925373134,0.2,0.16000000000000006,5
Tunisia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.265, 'Not a moral issue': 0.171, 'Morally unacceptable': 0.393}",-0.128,0.2,0.16000000000000006,5
China,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.48729076255424675, 'Not a moral issue': 0.28208307501549906, 'Morally unacceptable': 0.12802231866088035}",0.35926844389336643,0.2,0.16000000000000006,5
Pakistan,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.14487926727726894, 'Not a moral issue': 0.06994171523730225, 'Morally unacceptable': 0.6244796003330558}",-0.47960033305578686,0.2,0.16000000000000006,5
Ghana,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.36795994993742176, 'Not a moral issue': 0.07008760951188986, 'Morally unacceptable': 0.4981226533166458}",-0.13016270337922403,0.2,0.16000000000000006,5
South Africa,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6723926380368098, 'Not a moral issue': 0.08711656441717791, 'Morally unacceptable': 0.14355828220858896}",0.5288343558282209,0.2,0.16000000000000006,5
Palestinian territories,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.408641975308642, 'Not a moral issue': 0.24814814814814815, 'Morally unacceptable': 0.1345679012345679}",0.2740740740740741,0.2,0.16000000000000006,5
Israel,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.39370932754880694, 'Not a moral issue': 0.2559652928416486, 'Morally unacceptable': 0.21691973969631237}",0.17678958785249457,0.2,0.16000000000000006,5
Bolivia,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.5725, 'Not a moral issue': 0.1375, 'Morally unacceptable': 0.18125}",0.39125,0.2,0.16000000000000006,5
Venezuela,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.824, 'Not a moral issue': 0.084, 'Morally unacceptable': 0.051}",0.7729999999999999,0.2,0.16000000000000006,5
El Salvador,"Pick one. Do people believe that using contraceptives is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",using contraceptives,"{'Morally acceptable': 0.6376262626262627, 'Not a moral issue': 0.10984848484848485, 'Morally unacceptable': 0.21717171717171718}",0.42045454545454547,0.2,0.16000000000000006,5
United States,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.3403193612774451, 'Not a moral issue': 0.36427145708582837, 'Morally unacceptable': 0.20758483033932135}",0.13273453093812376,0.0,0.0,5
Czech Republic,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.6042857142857143, 'Not a moral issue': 0.21428571428571427, 'Morally unacceptable': 0.11}",0.49428571428571433,0.0,0.0,5
South Korea,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.30902348578491967, 'Not a moral issue': 0.2830655129789864, 'Morally unacceptable': 0.273176761433869}",0.035846724351050685,0.0,0.0,5
Canada,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.369472182596291, 'Not a moral issue': 0.4693295292439372, 'Morally unacceptable': 0.09415121255349501}",0.275320970042796,0.0,0.0,5
France,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.4213147410358566, 'Not a moral issue': 0.5338645418326693, 'Morally unacceptable': 0.043824701195219126}",0.37749003984063745,0.0,0.0,5
Germany,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.5629268292682926, 'Not a moral issue': 0.3726829268292683, 'Morally unacceptable': 0.041951219512195125}",0.5209756097560975,0.0,0.0,5
Spain,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.564, 'Not a moral issue': 0.376, 'Morally unacceptable': 0.042}",0.5219999999999999,0.0,0.0,5
Mexico,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.406, 'Not a moral issue': 0.16, 'Morally unacceptable': 0.329}",0.07700000000000001,0.0,0.0,5
Chile,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.66375, 'Not a moral issue': 0.14625, 'Morally unacceptable': 0.16375}",0.49999999999999994,0.0,0.0,5
Australia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.47125, 'Not a moral issue': 0.41375, 'Morally unacceptable': 0.06875}",0.40249999999999997,0.0,0.0,5
Russia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.464859437751004, 'Not a moral issue': 0.12650602409638553, 'Morally unacceptable': 0.22088353413654618}",0.24397590361445784,0.0,0.0,5
Britain,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.41699604743083, 'Not a moral issue': 0.4051383399209486, 'Morally unacceptable': 0.08893280632411067}",0.32806324110671936,0.0,0.0,5
Turkey,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.304, 'Not a moral issue': 0.25, 'Morally unacceptable': 0.279}",0.024999999999999967,0.0,0.0,5
Greece,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.418, 'Not a moral issue': 0.277, 'Morally unacceptable': 0.185}",0.23299999999999998,0.0,0.0,5
Egypt,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.512, 'Not a moral issue': 0.296, 'Morally unacceptable': 0.07}",0.442,0.0,0.0,5
Poland,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.35625, 'Not a moral issue': 0.2475, 'Morally unacceptable': 0.215}",0.14125000000000001,0.0,0.0,5
Senegal,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.35, 'Not a moral issue': 0.1575, 'Morally unacceptable': 0.3175}",0.03249999999999997,0.0,0.0,5
Italy,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.5040723981900452, 'Not a moral issue': 0.2253393665158371, 'Morally unacceptable': 0.16832579185520363}",0.3357466063348416,0.0,0.0,5
Brazil,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.615625, 'Not a moral issue': 0.1, 'Morally unacceptable': 0.240625}",0.375,0.0,0.0,5
Lebanon,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.481, 'Not a moral issue': 0.276, 'Morally unacceptable': 0.094}",0.387,0.0,0.0,5
Nigeria,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.1309408341416101, 'Not a moral issue': 0.11639185257032007, 'Morally unacceptable': 0.6159068865179438}",-0.4849660523763337,0.0,0.0,5
Japan,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.5428571428571428, 'Not a moral issue': 0.2885714285714286, 'Morally unacceptable': 0.11714285714285715}",0.42571428571428566,0.0,0.0,5
Malaysia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.170316301703163, 'Not a moral issue': 0.22019464720194648, 'Morally unacceptable': 0.4416058394160584}",-0.27128953771289543,0.0,0.0,5
Kenya,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.17794486215538846, 'Not a moral issue': 0.13784461152882205, 'Morally unacceptable': 0.581453634085213}",-0.40350877192982454,0.0,0.0,5
Indonesia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.196, 'Not a moral issue': 0.095, 'Morally unacceptable': 0.576}",-0.37999999999999995,0.0,0.0,5
Uganda,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.08875, 'Not a moral issue': 0.05875, 'Morally unacceptable': 0.75625}",-0.6675,0.0,0.0,5
Jordan,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.535, 'Not a moral issue': 0.289, 'Morally unacceptable': 0.058}",0.47700000000000004,0.0,0.0,5
Argentina,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.5946275946275946, 'Not a moral issue': 0.21855921855921856, 'Morally unacceptable': 0.1562881562881563}",0.43833943833943834,0.0,0.0,5
Philippines,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.25, 'Not a moral issue': 0.06840796019900497, 'Morally unacceptable': 0.6716417910447762}",-0.42164179104477617,0.0,0.0,5
Tunisia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.151, 'Not a moral issue': 0.218, 'Morally unacceptable': 0.471}",-0.31999999999999995,0.0,0.0,5
China,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.4482331060136392, 'Not a moral issue': 0.18381897086174828, 'Morally unacceptable': 0.24891506509609423}",0.19931804091754496,0.0,0.0,5
Pakistan,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.08243130724396336, 'Not a moral issue': 0.04329725228975854, 'Morally unacceptable': 0.7268942547876769}",-0.6444629475437136,0.0,0.0,5
Ghana,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.1113892365456821, 'Not a moral issue': 0.026282853566958697, 'Morally unacceptable': 0.7759699624530664}",-0.6645807259073843,0.0,0.0,5
South Africa,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.16319018404907976, 'Not a moral issue': 0.150920245398773, 'Morally unacceptable': 0.37791411042944784}",-0.21472392638036808,0.0,0.0,5
Palestinian territories,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.2691358024691358, 'Not a moral issue': 0.2765432098765432, 'Morally unacceptable': 0.22469135802469137}",0.04444444444444445,0.0,0.0,5
Israel,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.272234273318872, 'Not a moral issue': 0.30585683297180044, 'Morally unacceptable': 0.27440347071583515}",-0.0021691973969631406,0.0,0.0,5
Bolivia,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.29375, 'Not a moral issue': 0.105, 'Morally unacceptable': 0.4825}",-0.18874999999999997,0.0,0.0,5
Venezuela,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.581, 'Not a moral issue': 0.08, 'Morally unacceptable': 0.242}",0.33899999999999997,0.0,0.0,5
El Salvador,"Pick one. Do people believe that getting a divorce is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",getting a divorce,"{'Morally acceptable': 0.30303030303030304, 'Not a moral issue': 0.09595959595959595, 'Morally unacceptable': 0.47853535353535354}",-0.1755050505050505,0.0,0.0,5
United States,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.17465069860279442, 'Not a moral issue': 0.249500998003992, 'Morally unacceptable': 0.47105788423153694}",-0.2964071856287425,-1.0,0.0,5
Czech Republic,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.48857142857142855, 'Not a moral issue': 0.18428571428571427, 'Morally unacceptable': 0.18}",0.30857142857142855,-1.0,0.0,5
South Korea,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.1841779975278121, 'Not a moral issue': 0.11248454882571075, 'Morally unacceptable': 0.5896168108776267}",-0.40543881334981463,-1.0,0.0,5
Canada,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.2653352353780314, 'Not a moral issue': 0.3666191155492154, 'Morally unacceptable': 0.25392296718972895}",0.011412268188302432,-1.0,0.0,5
France,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.37350597609561753, 'Not a moral issue': 0.4960159362549801, 'Morally unacceptable': 0.12350597609561753}",0.25,-1.0,0.0,5
Germany,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.44878048780487806, 'Not a moral issue': 0.26926829268292685, 'Morally unacceptable': 0.16585365853658537}",0.2829268292682927,-1.0,0.0,5
Spain,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.357, 'Not a moral issue': 0.285, 'Morally unacceptable': 0.257}",0.09999999999999998,-1.0,0.0,5
Mexico,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.152, 'Not a moral issue': 0.12, 'Morally unacceptable': 0.622}",-0.47,-1.0,0.0,5
Chile,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.16375, 'Not a moral issue': 0.09625, 'Morally unacceptable': 0.61625}",-0.45249999999999996,-1.0,0.0,5
Australia,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.3225, 'Not a moral issue': 0.3, 'Morally unacceptable': 0.2425}",0.08000000000000002,-1.0,0.0,5
Russia,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.2459839357429719, 'Not a moral issue': 0.10341365461847389, 'Morally unacceptable': 0.4387550200803213}",-0.1927710843373494,-1.0,0.0,5
Britain,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.2628458498023715, 'Not a moral issue': 0.2816205533596838, 'Morally unacceptable': 0.2440711462450593}",0.018774703557312228,-1.0,0.0,5
Turkey,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.155, 'Not a moral issue': 0.163, 'Morally unacceptable': 0.528}",-0.373,-1.0,0.0,5
Greece,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.159, 'Not a moral issue': 0.113, 'Morally unacceptable': 0.54}",-0.381,-1.0,0.0,5
Egypt,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.05, 'Not a moral issue': 0.222, 'Morally unacceptable': 0.621}",-0.571,-1.0,0.0,5
Poland,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.1375, 'Not a moral issue': 0.12625, 'Morally unacceptable': 0.46875}",-0.33125,-1.0,0.0,5
Senegal,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.145, 'Not a moral issue': 0.22125, 'Morally unacceptable': 0.5225}",-0.37749999999999995,-1.0,0.0,5
Italy,"Pick one. Do people believe that having an abortion is:
1. Morally unacceptable.
2. Not a moral issue.
3. Morally acceptable.",having an abortion,"{'Morally acceptable': 0.25882352941176473, 'Not a moral issue': 0.11402714932126697, 'Morally unacceptable': 0.4072398190045249}",-0.14841628959276015,-1.0,0.0,5
