country,prompt,topic,wvs_score,gpt3_score_mean,gpt_var,repeat
Chile,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.2169092169092169,-0.2,0.16000000000000006,5
Taiwan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.5551921504497138,-0.2,0.16000000000000006,5
Colombia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.38274853801169584,-0.2,0.16000000000000006,5
Germany,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.880386983289358,-0.2,0.16000000000000006,5
Iran,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.42258528099236065,-0.2,0.16000000000000006,5
Japan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8304183813443072,-0.2,0.16000000000000006,5
Kazakhstan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.46600055509297816,-0.2,0.16000000000000006,5
South Korea,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.5032574743418117,-0.2,0.16000000000000006,5
Kyrgyzstan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.541371158392435,-0.2,0.16000000000000006,5
Lebanon,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.466439135381115,-0.2,0.16000000000000006,5
Mexico,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.1784629306444315,-0.2,0.16000000000000006,5
Pakistan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.6138246215367039,-0.2,0.16000000000000006,5
Peru,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.44682598341134916,-0.2,0.16000000000000006,5
Romania,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.7416276722635103,-0.2,0.16000000000000006,5
Russia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.3577094215515573,-0.2,0.16000000000000006,5
Turkey,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8017892736290733,-0.2,0.16000000000000006,5
Ukraine,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.46615370523037464,-0.2,0.16000000000000006,5
Egypt,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.8246330319821132,-0.2,0.16000000000000006,5
United States of America,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.6598303911388023,-0.2,0.16000000000000006,5
Mongolia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.37043832823649336,-0.2,0.16000000000000006,5
Nicaragua,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.32481481481481483,-0.2,0.16000000000000006,5
Morocco,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.405,-0.2,0.16000000000000006,5
Venezuela,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.29561157796451915,-0.2,0.16000000000000006,5
Iraq,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.43,-0.2,0.16000000000000006,5
Tajikistan,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.5337037037037036,-0.2,0.16000000000000006,5
Guatemala,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.3016924208977189,-0.2,0.16000000000000006,5
Malaysia,"(None, 'Pick one. Do people believe that claiming government benefits to which you are not entitled is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",claiming government benefits to which you are not entitled,-0.2454937801472455,-0.2,0.16000000000000006,5
Cyprus,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5822041553748871,0.2,0.16000000000000006,5
Ecuador,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.33928903778150005,0.2,0.16000000000000006,5
Greece,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6914508493455862,0.2,0.16000000000000006,5
Indonesia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6138079827400215,0.2,0.16000000000000006,5
Jordan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,,0.2,0.16000000000000006,5
Libya,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.865308102862688,0.2,0.16000000000000006,5
Maldives,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6836701957009946,0.2,0.16000000000000006,5
New Zealand,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.744888023369036,0.2,0.16000000000000006,5
Nigeria,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7741731999639542,0.2,0.16000000000000006,5
Philippines,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.15299786859419887,0.2,0.16000000000000006,5
Thailand,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7297094938604373,0.2,0.16000000000000006,5
Tunisia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7509928881499953,0.2,0.16000000000000006,5
China,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.8634679578885587,0.2,0.16000000000000006,5
Singapore,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.8177977877827803,0.2,0.16000000000000006,5
Vietnam,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.46129629629629626,0.2,0.16000000000000006,5
Australia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7320663312837712,0.2,0.16000000000000006,5
Canada,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.48188706376859686,0.2,0.16000000000000006,5
Ethiopia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7734204793028323,0.2,0.16000000000000006,5
Kenya,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.42595613558093165,0.2,0.16000000000000006,5
Netherlands,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7565815434917413,0.2,0.16000000000000006,5
Zimbabwe,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7556105157094439,0.2,0.16000000000000006,5
Andorra,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.8026169882457307,0.2,0.16000000000000006,5
Argentina,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5445232466509061,0.2,0.16000000000000006,5
Bangladesh,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.8220370370370369,0.2,0.16000000000000006,5
Armenia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.9092821216278006,0.2,0.16000000000000006,5
Bolivia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.3417417417417417,0.2,0.16000000000000006,5
Brazil,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.4337971128094585,0.2,0.16000000000000006,5
Myanmar,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5197252390234847,0.2,0.16000000000000006,5
Chile,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5171862509992007,0.2,0.16000000000000006,5
Taiwan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7245389297719633,0.2,0.16000000000000006,5
Colombia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.4080409356725146,0.2,0.16000000000000006,5
Germany,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.8156648451730417,0.2,0.16000000000000006,5
Iran,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.619090231170768,0.2,0.16000000000000006,5
Japan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.9280455153949129,0.2,0.16000000000000006,5
Kazakhstan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.27089518668466034,0.2,0.16000000000000006,5
South Korea,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5621597501115574,0.2,0.16000000000000006,5
Kyrgyzstan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6147762345679012,0.2,0.16000000000000006,5
Lebanon,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,,0.2,0.16000000000000006,5
Mexico,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.2664471560462264,0.2,0.16000000000000006,5
Pakistan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7683310841205577,0.2,0.16000000000000006,5
Peru,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6060825488776249,0.2,0.16000000000000006,5
Romania,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7974706413730804,0.2,0.16000000000000006,5
Russia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.13414710485133022,0.2,0.16000000000000006,5
Turkey,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.7562814070351759,0.2,0.16000000000000006,5
Ukraine,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.41891290810426113,0.2,0.16000000000000006,5
Egypt,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.868312757201646,0.2,0.16000000000000006,5
United States of America,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5705261336102457,0.2,0.16000000000000006,5
Mongolia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.3412020078686745,0.2,0.16000000000000006,5
Nicaragua,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.4111111111111111,0.2,0.16000000000000006,5
Morocco,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5266666666666666,0.2,0.16000000000000006,5
Venezuela,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5363211951447245,0.2,0.16000000000000006,5
Iraq,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.5585185185185185,0.2,0.16000000000000006,5
Tajikistan,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.6446296296296296,0.2,0.16000000000000006,5
Guatemala,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.400405380504883,0.2,0.16000000000000006,5
Malaysia,"(None, 'Pick one. Do people believe that avoiding a fare on public transport is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",avoiding a fare on public transport,-0.33790302107133785,0.2,0.16000000000000006,5
Cyprus,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.898989898989899,-0.4,0.24000000000000005,5
Ecuador,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.7960171226502885,-0.4,0.24000000000000005,5
Greece,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9709902370990239,-0.4,0.24000000000000005,5
Indonesia,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.876442775691837,-0.4,0.24000000000000005,5
Jordan,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9164814814814816,-0.4,0.24000000000000005,5
Libya,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9648021308980211,-0.4,0.24000000000000005,5
Maldives,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9344508918977004,-0.4,0.24000000000000005,5
New Zealand,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9143473570658037,-0.4,0.24000000000000005,5
Nigeria,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.8490328385065228,-0.4,0.24000000000000005,5
Philippines,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.4131625359695535,-0.4,0.24000000000000005,5
Thailand,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.8148646627785255,-0.4,0.24000000000000005,5
Tunisia,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.8821464856377574,-0.4,0.24000000000000005,5
China,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9360258244378415,-0.4,0.24000000000000005,5
Singapore,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9221833138791619,-0.4,0.24000000000000005,5
Vietnam,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.6677777777777778,-0.4,0.24000000000000005,5
Australia,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9108138238573021,-0.4,0.24000000000000005,5
Canada,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.7348597975775677,-0.4,0.24000000000000005,5
Ethiopia,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.8950416214259862,-0.4,0.24000000000000005,5
Kenya,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.5738775510204082,-0.4,0.24000000000000005,5
Netherlands,"(None, 'Pick one. Do people believe that stealing property is:\n1. Never justifiable.\n2. Something in between.\n3. Always justifiable.')",stealing property,-0.9228566616136096,-0.4,0.24000000000000005,5
