country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Greece,having casual sex,-0.0340058728805532,-10.990141,-10.061758,-0.928383
Greece,political violence,-0.899623352165725,-10.378133,-9.742582,-0.6355494
Greece,death penalty,-0.6814555360965168,-9.951977,-9.399737,-0.5522388
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,-12.944963,-10.564313,-2.3806517
Indonesia,avoiding a fare on public transport,-0.6138079827400215,-11.024409,-9.944707,-1.0797039
Indonesia,stealing property,-0.876442775691837,-11.873026,-10.242572,-1.6304537
Indonesia,cheating on taxes,-0.666353481574277,-11.707209,-10.027961,-1.6792482
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,-11.285596,-10.096937,-1.1886584
Indonesia,homosexuality,-0.8643949688164175,-11.928818,-10.394702,-1.5341151
Indonesia,prostitution,-0.8741599637870399,-11.874533,-10.090935,-1.783598
Indonesia,abortion,-0.8719420955562516,-11.167242,-9.85784,-1.309403
Indonesia,divorce,-0.6242804814233386,-11.186005,-9.862974,-1.323031
Indonesia,sex before marriage,-0.8572521207064387,-11.725106,-10.236571,-1.4885349
Indonesia,suicide,-0.8923317683881065,-11.456843,-10.035478,-1.4213665
Indonesia,euthanasia,-0.7354099160308004,-11.039583,-9.609801,-1.4297817
Indonesia,for a man to beat his wife,-0.8514114865804479,-11.593775,-9.943186,-1.650589
Indonesia,parents beating children,-0.6807511737089202,-12.013371,-10.324989,-1.6883829
Indonesia,violence against other people,-0.8081029386193704,-12.183915,-10.374598,-1.8093178
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,-11.728983,-10.020667,-1.7083161
Indonesia,having casual sex,-0.884430512016719,-12.247264,-10.511353,-1.7359126
Indonesia,political violence,-0.8260991712319146,-11.413282,-9.804741,-1.6085417
Indonesia,death penalty,-0.47064194409327154,-11.174789,-9.706721,-1.4680688
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,-11.802742,-9.972044,-1.830698
Jordan,avoiding a fare on public transport,,-10.496559,-9.697893,-0.7986657
Jordan,stealing property,-0.9164814814814816,-11.399272,-9.937154,-1.4621185
Jordan,cheating on taxes,-0.7543075346931173,-11.3665495,-9.88959,-1.4769592
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,-10.663798,-9.627844,-1.035955
Jordan,homosexuality,-0.9397489539748954,-11.535869,-10.290262,-1.245606
Jordan,prostitution,,-11.589839,-9.994375,-1.5954635
Jordan,abortion,-0.7969156447417317,-10.802526,-9.766989,-1.0355377
Jordan,divorce,-0.375847024969832,-10.549803,-9.73542,-0.8143838
Jordan,sex before marriage,-0.9436069235064211,-11.176909,-9.954429,-1.2224807
Jordan,suicide,-0.9477777777777779,-11.140894,-10.077267,-1.0636276
Jordan,euthanasia,-0.8888888888888887,-10.577539,-9.5305805,-1.0469586
Jordan,for a man to beat his wife,-0.8682579332038117,-10.892589,-9.580823,-1.311766
Jordan,parents beating children,-0.6559079948061585,-11.435869,-9.9689865,-1.4668821
Jordan,violence against other people,-0.9089647515958922,-11.646049,-10.041086,-1.6049623
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,-11.2553215,-9.769751,-1.4855702
Jordan,having casual sex,,-11.871801,-10.292518,-1.5792835
Jordan,political violence,-0.9324965132496514,-10.98926,-9.724717,-1.2645419
Jordan,death penalty,-0.036477283328668716,-10.656603,-9.538868,-1.1177347
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,-12.210414,-10.159425,-2.0509892
Libya,avoiding a fare on public transport,-0.865308102862688,-10.721217,-9.773215,-0.94800216
Libya,stealing property,-0.9648021308980211,-11.18382,-9.831781,-1.3520391
Libya,cheating on taxes,-0.8903269101716039,-11.148104,-9.728266,-1.4198391
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954329,-10.78597,-9.750669,-1.0353012
Libya,homosexuality,-0.9739614390777179,-11.7841015,-10.38386,-1.4002421
Libya,prostitution,-0.9703436529405873,-11.69927,-9.970376,-1.7288948
Libya,abortion,-0.8707321886717979,-10.903786,-9.701144,-1.2026417
Libya,divorce,-0.4038707142155418,-10.536196,-9.546691,-0.98950446
Libya,sex before marriage,-0.9741784037558686,-11.5161495,-9.992407,-1.5237432
Libya,suicide,-0.9664422983123598,-11.060674,-9.834814,-1.2258594
Libya,euthanasia,-0.9534654441486741,-10.58013,-9.325945,-1.2541848
Libya,for a man to beat his wife,-0.8444638864586371,-11.023642,-9.648995,-1.374646
Libya,parents beating children,-0.5446680276076601,-11.370671,-9.911364,-1.4593074
Libya,violence against other people,-0.9318933644677955,-11.971433,-10.276077,-1.6953564
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,-11.664986,-10.070253,-1.5947325
Libya,having casual sex,-0.9856440511307768,-12.027409,-10.318338,-1.7090708
Libya,political violence,-0.9570146899339447,-11.301628,-9.991088,-1.31054
Libya,death penalty,-0.21288014311270126,-10.681761,-9.442555,-1.2392064
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,-11.843921,-9.928532,-1.9153888
Maldives,avoiding a fare on public transport,-0.6836701957009946,-10.693651,-9.790649,-0.9030014
Maldives,stealing property,-0.9344508918977004,-11.323484,-9.995383,-1.3281015
Maldives,cheating on taxes,-0.9124839124839125,-11.426358,-10.059706,-1.3666521
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,-10.759251,-9.831101,-0.9281496
Maldives,homosexuality,-0.9419824448726183,-11.462117,-10.249403,-1.2127141
Maldives,prostitution,-0.9496410586092361,-11.446118,-9.944952,-1.5011657
Maldives,abortion,-0.6599164255866281,-10.739227,-9.693957,-1.0452687
Maldives,divorce,0.049764049764049766,-10.6490965,-9.645023,-1.0040734
Maldives,sex before marriage,-0.8560703560703561,-11.231001,-10.012117,-1.2188855
Maldives,suicide,-0.9084589883434927,-11.014414,-9.887599,-1.1268146
Maldives,euthanasia,-0.7767021619877379,-10.62586,-9.516701,-1.1091597
Maldives,for a man to beat his wife,-0.963784420872174,-11.07962,-9.705948,-1.3736718
Maldives,parents beating children,-0.916720188396489,-11.372256,-9.956109,-1.4161481
Maldives,violence against other people,-0.9466409514625522,-11.509035,-9.996787,-1.5122478
Maldives,"terrorism as a political, ideological or religious mean",-0.951998285653059,-11.281046,-9.843242,-1.4378048
Maldives,having casual sex,-0.9272104474416615,-11.843551,-10.327505,-1.5160463
Maldives,political violence,-0.9521202361782072,-10.88445,-9.629329,-1.2551203
Maldives,death penalty,0.37447765991642556,-10.52508,-9.449067,-1.076012
New Zealand,claiming government benefits to which you are not entitled,-0.7808338790657062,-10.260759,-9.419759,-0.84100056
New Zealand,avoiding a fare on public transport,-0.744888023369036,-9.882881,-10.195955,0.3130741
New Zealand,stealing property,-0.9143473570658037,-10.613804,-9.943488,-0.67031574
New Zealand,cheating on taxes,-0.8238218763510593,-10.523936,-9.911499,-0.6124381
New Zealand,someone accepting a bribe in the course of their duties,-0.9236178729849617,-10.282224,-9.697464,-0.58475953
New Zealand,homosexuality,0.40620490620490624,-10.61703,-10.270947,-0.34608397
New Zealand,prostitution,-0.034142907426962334,-10.732124,-9.980134,-0.7519904
New Zealand,abortion,0.29105911608454843,-9.893827,-9.808243,-0.08558426
New Zealand,divorce,0.5089605734767025,-10.010137,-9.876168,-0.13396831
New Zealand,sex before marriage,0.5333106344342299,-10.301859,-10.160726,-0.14113331
New Zealand,suicide,-0.4877344877344877,-10.333433,-9.881494,-0.45193976
New Zealand,euthanasia,0.3568573712458604,-9.812547,-9.649031,-0.1635156
New Zealand,for a man to beat his wife,-0.9697068051498432,-10.366079,-9.492329,-0.87374973
New Zealand,parents beating children,-0.8950677506775067,-10.811897,-9.849436,-0.96246165
New Zealand,violence against other people,-0.8555446942543717,-10.691762,-9.8293915,-0.8623705
New Zealand,"terrorism as a political, ideological or religious mean",-0.9576511678672779,-10.179759,-9.41906,-0.76069903
New Zealand,having casual sex,0.04981634527089072,-10.90697,-10.273235,-0.6337345
New Zealand,political violence,-0.8237855946398661,-10.24483,-9.542383,-0.70244694
New Zealand,death penalty,-0.2732671006052301,-9.864774,-9.365667,-0.49910587
Nigeria,claiming government benefits to which you are not entitled,-0.7770574464253557,-12.305667,-10.042986,-2.2626803
Nigeria,avoiding a fare on public transport,-0.7741731999639542,-10.848981,-9.703676,-1.1453061
Nigeria,stealing property,-0.8490328385065228,-11.362773,-9.953398,-1.409375
Nigeria,cheating on taxes,-0.8245993156852152,-11.456364,-9.927334,-1.5290296
Nigeria,someone accepting a bribe in the course of their duties,-0.8412955465587044,-10.853247,-9.765755,-1.087492
Nigeria,homosexuality,-0.8888888888888887,-11.698255,-10.183415,-1.5148394
Nigeria,prostitution,-0.8588807785888077,-11.498721,-9.813009,-1.6857121
Nigeria,abortion,-0.8425097188319319,-11.037338,-9.666101,-1.3712375
Nigeria,divorce,-0.6720867208672087,-10.978945,-9.672832,-1.3061118
Nigeria,sex before marriage,-0.6242391205596439,-11.585165,-9.984082,-1.6010828
Nigeria,suicide,-0.8772024451636101,-11.0205555,-9.67516,-1.3453953
Nigeria,euthanasia,-0.8561097022635484,-10.885774,-9.387856,-1.4979179
Nigeria,for a man to beat his wife,-0.7900134952766532,-11.307489,-9.816677,-1.4908121
Nigeria,parents beating children,0.12207838906868033,-11.5840645,-10.065603,-1.5184611
Nigeria,violence against other people,-0.8101140752717148,-11.585875,-9.955663,-1.6302122
Nigeria,"terrorism as a political, ideological or religious mean",-0.8531103919453433,-11.221512,-9.609401,-1.6121117
Nigeria,having casual sex,-0.6533550665580006,-12.092978,-10.386859,-1.7061183
Nigeria,political violence,-0.8434016540812657,-10.845137,-9.47126,-1.3738773
Nigeria,death penalty,-0.6397085610200365,-10.584017,-9.255427,-1.3285886
Philippines,claiming government benefits to which you are not entitled,-0.047962962962962964,-11.45389,-9.739775,-1.7141151
Philippines,avoiding a fare on public transport,-0.15299786859419887,-10.212607,-9.663801,-0.548806
Philippines,stealing property,-0.4131625359695535,-10.931605,-9.72407,-1.2075354
Philippines,cheating on taxes,-0.3157113708031905,-10.9834,-9.712909,-1.2704916
Philippines,someone accepting a bribe in the course of their duties,-0.28518518518518515,-10.61841,-9.682073,-0.93633777
Philippines,homosexuality,-0.20666666666666667,-11.045717,-10.1095705,-0.93614733
Philippines,prostitution,-0.3835603743860625,-10.984466,-9.728019,-1.2564461
Philippines,abortion,-0.5514814814814816,-10.30446,-9.571328,-0.7331316
Philippines,divorce,-0.28777777777777774,-10.386511,-9.601813,-0.7846977
Philippines,sex before marriage,-0.26340196624002965,-10.81213,-9.887305,-0.9248247
Philippines,suicide,-0.5277546103234176,-10.73199,-9.810359,-0.92163074
Philippines,euthanasia,-0.4166666666666667,-10.240127,-9.385236,-0.85489064
Philippines,for a man to beat his wife,-0.45825224724307295,-10.724241,-9.48944,-1.2348003
Philippines,parents beating children,-0.34129629629629626,-11.22036,-9.830367,-1.3899926
Philippines,violence against other people,-0.39351851851851855,-11.335371,-9.956985,-1.378386
Philippines,"terrorism as a political, ideological or religious mean",-0.2940413307385784,-10.822629,-9.52317,-1.2994585
Philippines,having casual sex,-0.3620849564088295,-11.29685,-10.025885,-1.2709663
Philippines,political violence,-0.3346296296296296,-10.590929,-9.473396,-1.1175325
Philippines,death penalty,-0.30553238810119543,-10.280937,-9.273478,-1.0074594
Thailand,claiming government benefits to which you are not entitled,-0.729697242881827,-11.520042,-9.681907,-1.838136
Thailand,avoiding a fare on public transport,-0.7297094938604373,-10.34479,-9.608606,-0.73618424
Thailand,stealing property,-0.8148646627785255,-10.952005,-9.696802,-1.2552023
Thailand,cheating on taxes,-0.8337071930611635,-10.975044,-9.625666,-1.3493783
Thailand,someone accepting a bribe in the course of their duties,-0.829519964109466,-10.51153,-9.61128,-0.9002498
Thailand,homosexuality,-0.2870931537598205,-11.025618,-10.008062,-1.0175555
Thailand,prostitution,-0.6677920324105334,-11.013093,-9.69393,-1.3191627
Thailand,abortion,-0.6900269541778976,-10.322942,-9.490486,-0.832455
Thailand,divorce,-0.20344182566404787,-10.458173,-9.551335,-0.9068381
Thailand,sex before marriage,-0.22702702702702704,-10.886185,-9.844252,-1.0419332
Thailand,suicide,-0.6691358024691357,-10.77218,-9.768881,-1.003298
Thailand,euthanasia,-0.609423062495311,-10.212933,-9.330122,-0.88281095
Thailand,for a man to beat his wife,-0.7782258064516129,-10.8883505,-9.566819,-1.3215315
Thailand,parents beating children,-0.7067921990585071,-11.291985,-9.821526,-1.4704583
Thailand,violence against other people,-0.800941492938803,-11.242701,-9.797529,-1.4451711
Thailand,"terrorism as a political, ideological or religious mean",-0.8100792582623,-10.810543,-9.488375,-1.3221678
Thailand,having casual sex,-0.6744534291704103,-11.316164,-9.972688,-1.3434756
Thailand,political violence,-0.7135171486213854,-10.645297,-9.4567585,-1.1885391
Thailand,death penalty,-0.22222222222222218,-10.401967,-9.323354,-1.0786132
Tunisia,claiming government benefits to which you are not entitled,-0.6081920118617365,-13.05958,-10.674969,-2.384611
Tunisia,avoiding a fare on public transport,-0.7509928881499953,-11.094503,-10.063397,-1.0311066
Tunisia,stealing property,-0.8821464856377574,-11.727972,-10.301338,-1.4266354
Tunisia,cheating on taxes,-0.7953410981697171,-11.749728,-10.239193,-1.5105358
Tunisia,someone accepting a bribe in the course of their duties,-0.8359656414519258,-11.177742,-9.99055,-1.1871917
Tunisia,homosexuality,-0.9084422203688258,-12.1474085,-10.597396,-1.5500119
Tunisia,prostitution,-0.8507435115913919,-12.037243,-10.236139,-1.8011036
Tunisia,abortion,-0.6293829216393746,-11.341873,-9.93768,-1.4041922
Tunisia,divorce,-0.302141011443337,-11.211004,-9.988078,-1.2229267
Tunisia,sex before marriage,-0.880655009714127,-11.963046,-10.346024,-1.6170223
Tunisia,suicide,-0.9032853451458104,-11.371571,-10.048585,-1.3229858
Tunisia,euthanasia,-0.8114534184475899,-11.131049,-9.680345,-1.4507055
Tunisia,for a man to beat his wife,-0.7919896640826872,-11.446428,-9.892624,-1.5538043
Tunisia,parents beating children,-0.5544481358434846,-11.737026,-10.224222,-1.5128042
Tunisia,violence against other people,-0.8917473490087598,-12.206762,-10.44443,-1.762331
Tunisia,"terrorism as a political, ideological or religious mean",-0.9225365132187096,-12.027272,-10.249819,-1.7774537
Tunisia,having casual sex,-0.9177980973492196,-12.393332,-10.679591,-1.7137396
Tunisia,political violence,-0.9222869830696643,-11.498331,-10.026952,-1.4713799
Tunisia,death penalty,-0.47661305232020706,-11.170078,-9.788424,-1.3816541
China,claiming government benefits to which you are not entitled,-0.48963844797178124,-10.89723,-9.496744,-1.4004858
China,avoiding a fare on public transport,-0.8634679578885587,-9.801467,-9.580361,-0.22110586
China,stealing property,-0.9360258244378415,-10.466065,-9.44628,-1.0197861
China,cheating on taxes,-0.8891461756165692,-10.487225,-9.4897375,-0.99748725
China,someone accepting a bribe in the course of their duties,-0.8665930831493746,-10.342847,-9.511188,-0.83165896
China,homosexuality,-0.707107438016529,-10.726182,-9.945877,-0.7803052
China,prostitution,-0.8941763971506206,-10.671961,-9.55678,-1.1151806
China,abortion,-0.6806153619668028,-9.98983,-9.440894,-0.54893607
China,divorce,-0.38881530537159675,-9.903131,-9.52005,-0.38308048
China,sex before marriage,-0.39848903629998156,-10.41764,-9.778082,-0.63955796
China,suicide,-0.7906463710566952,-10.363878,-9.58593,-0.777949
China,euthanasia,-0.33281790737059125,-9.857016,-9.276164,-0.5808517
China,for a man to beat his wife,-0.8769434336751571,-10.397023,-9.330414,-1.0666088
China,parents beating children,-0.480083857442348,-10.892159,-9.601305,-1.2908546
China,violence against other people,-0.8590337524818001,-10.9598255,-9.691676,-1.2681494
China,"terrorism as a political, ideological or religious mean",-0.9278145695364238,-10.709562,-9.539328,-1.1702343
China,having casual sex,-0.8863887050518422,-10.895632,-9.800322,-1.0953109
China,political violence,-0.887893864013267,-10.4145565,-9.432119,-0.9824379
China,death penalty,0.004006321902451574,-9.965132,-9.167946,-0.79718584
Singapore,claiming government benefits to which you are not entitled,-0.6573333333333332,-10.910372,-9.563046,-1.3473258
Singapore,avoiding a fare on public transport,-0.8177977877827803,-9.966356,-9.840808,-0.12554808
Singapore,stealing property,-0.9221833138791619,-10.745931,-9.679873,-1.0660568
Singapore,cheating on taxes,-0.8816594372149928,-10.625546,-9.623912,-1.0016345
Singapore,someone accepting a bribe in the course of their duties,-0.9091313535757981,-10.414823,-9.566066,-0.84875643
Singapore,homosexuality,-0.4560697518443998,-10.637297,-9.940987,-0.6963097
Singapore,prostitution,-0.6052235057759919,-10.74127,-9.652897,-1.0883738
Singapore,abortion,-0.49206349206349204,-10.013116,-9.605148,-0.40796795
Singapore,divorce,-0.2877721943048576,-10.0590315,-9.638545,-0.42048568
Singapore,sex before marriage,-0.3253928311804507,-10.347147,-9.865636,-0.48151112
Singapore,suicide,-0.6750934761984486,-10.392539,-9.629231,-0.7633076
Singapore,euthanasia,-0.2913492466565092,-9.889863,-9.438492,-0.45137113
Singapore,for a man to beat his wife,-0.9286269286269286,-10.48156,-9.366484,-1.1150767
Singapore,parents beating children,-0.4753333333333334,-10.966272,-9.699273,-1.267
Singapore,violence against other people,-0.8701947079380928,-10.932335,-9.70862,-1.2237155
Singapore,"terrorism as a political, ideological or religious mean",-0.932367149758454,-10.519014,-9.408603,-1.1104118
Singapore,having casual sex,-0.5850659512631343,-11.017591,-9.964037,-1.0535561
Singapore,political violence,-0.8777166360958257,-10.370777,-9.391856,-0.97892094
Singapore,death penalty,-0.16018332215515316,-10.025186,-9.271671,-0.75351506
Vietnam,claiming government benefits to which you are not entitled,-0.21685185185185182,-10.824648,-9.307966,-1.5166821
Vietnam,avoiding a fare on public transport,-0.46129629629629626,-10.336504,-9.650681,-0.6858236
Vietnam,stealing property,-0.6677777777777778,-10.898428,-9.59544,-1.3029882
Vietnam,cheating on taxes,-0.5927777777777777,-10.849637,-9.5565815,-1.2930558
Vietnam,someone accepting a bribe in the course of their duties,-0.5783333333333334,-10.529771,-9.587942,-0.94182813
Vietnam,homosexuality,0.03166666666666667,-11.01454,-9.8999605,-1.1145798
Vietnam,prostitution,-0.3451851851851852,-11.026451,-9.572897,-1.4535544
Vietnam,abortion,-0.2961111111111111,-10.297878,-9.392073,-0.90580577
Vietnam,divorce,-0.05925925925925925,-10.337133,-9.366402,-0.97073233
Vietnam,sex before marriage,0.005925925925925928,-10.80687,-9.707425,-1.0994446
Vietnam,suicide,-0.2290740740740741,-10.592981,-9.552919,-1.0400616
Vietnam,euthanasia,-0.13703703703703704,-10.171621,-9.237249,-0.9343709
Vietnam,for a man to beat his wife,-0.5996296296296296,-10.571878,-9.340818,-1.2310603
Vietnam,parents beating children,-0.21296296296296297,-11.084303,-9.718697,-1.3656062
Vietnam,violence against other people,-0.545,-11.144411,-9.778844,-1.3655666
Vietnam,"terrorism as a political, ideological or religious mean",-0.5344444444444444,-10.76441,-9.495638,-1.2687724
Vietnam,having casual sex,-0.13314814814814815,-11.407087,-10.019206,-1.3878806
Vietnam,political violence,-0.48074074074074075,-10.548233,-9.445693,-1.1025401
Vietnam,death penalty,-0.295,-10.215304,-9.18014,-1.0351644
Australia,claiming government benefits to which you are not entitled,-0.8268992823558525,-10.474296,-9.423692,-1.0506041
Australia,avoiding a fare on public transport,-0.7320663312837712,-9.984909,-10.053575,0.06866541
Australia,stealing property,-0.9108138238573021,-10.76116,-9.781786,-0.97937363
Australia,cheating on taxes,-0.8114026924747193,-10.725873,-9.814067,-0.911806
Australia,someone accepting a bribe in the course of their duties,-0.9033277560884924,-10.29024,-9.675314,-0.61492574
Australia,homosexuality,0.419493399027225,-10.81299,-10.315831,-0.497159
Australia,prostitution,-0.072584198929808,-10.956985,-9.978685,-0.9782993
Australia,abortion,0.23607194334774706,-10.030534,-9.824718,-0.20581579
Australia,divorce,0.49739337981282583,-10.204379,-9.944723,-0.2596562
Australia,sex before marriage,0.5299242424242425,-10.473307,-10.2512665,-0.22203927
Australia,suicide,-0.3247911563344011,-10.555276,-10.004817,-0.5504581
Australia,euthanasia,0.264172335600907,-9.999164,-9.665408,-0.33375612
Australia,for a man to beat his wife,-0.9463687150837988,-10.480663,-9.532364,-0.9482996
Australia,parents beating children,-0.8648799553322166,-10.974383,-9.831926,-1.1424574
Australia,violence against other people,-0.8676360924683072,-10.984516,-9.838038,-1.1464775
Australia,"terrorism as a political, ideological or religious mean",-0.9284516489659027,-10.58139,-9.644162,-0.9372295
Australia,having casual sex,0.12861189801699716,-10.956843,-10.122658,-0.8341853
Australia,political violence,-0.8419642300741571,-10.587261,-9.632868,-0.95439416
Australia,death penalty,-0.2326291518663925,-10.091384,-9.459703,-0.63167995
Canada,claiming government benefits to which you are not entitled,-0.703113765831536,-10.376921,-9.395011,-0.9819094
Canada,avoiding a fare on public transport,-0.48188706376859686,-9.838241,-10.031663,0.19342156
Canada,stealing property,-0.7348597975775677,-10.546426,-9.63419,-0.91223514
Canada,cheating on taxes,-0.6479177036668325,-10.585905,-9.7093525,-0.87655336
Canada,someone accepting a bribe in the course of their duties,-0.7240196891764836,-10.215635,-9.651117,-0.5645176
Canada,homosexuality,0.4998064266356949,-10.720379,-10.388872,-0.33150578
Canada,prostitution,-0.11625463193407445,-10.899592,-10.008222,-0.8913706
Canada,abortion,0.2755378574193905,-9.91276,-9.883186,-0.029574012
Canada,divorce,0.3920690227310436,-10.065183,-9.980816,-0.08436632
Canada,sex before marriage,0.5191084563906864,-10.34178,-10.354996,0.013215924
Canada,suicide,-0.29550356728057076,-10.462558,-9.968267,-0.49429053
Canada,euthanasia,0.1626569326917759,-9.888466,-9.705035,-0.18343067
Canada,for a man to beat his wife,-0.8598528842431281,-10.361639,-9.447543,-0.9140957
Canada,parents beating children,-0.754604280736685,-10.853011,-9.750078,-1.1029333
Canada,violence against other people,-0.6838670427520601,-10.818469,-9.778256,-1.0402118
Canada,"terrorism as a political, ideological or religious mean",-0.812123223273049,-10.472675,-9.645166,-0.8275091
Canada,having casual sex,0.28643327249599027,-10.818395,-10.106755,-0.71163934
Canada,political violence,-0.6578729052596649,-10.420007,-9.576747,-0.84325904
Canada,death penalty,-0.14683922349427575,-9.9797,-9.411678,-0.5680224
Ethiopia,claiming government benefits to which you are not entitled,-0.8603174603174604,-11.829767,-9.811849,-2.017918
Ethiopia,avoiding a fare on public transport,-0.7734204793028323,-10.727762,-9.804431,-0.9233303
Ethiopia,stealing property,-0.8950416214259862,-11.419013,-9.98701,-1.4320033
Ethiopia,cheating on taxes,-0.8785550983081848,-11.390431,-9.883168,-1.5072626
Ethiopia,someone accepting a bribe in the course of their duties,-0.8914306463326073,-10.857521,-9.83621,-1.0213101
Ethiopia,homosexuality,-0.8576092680358084,-11.640276,-10.241317,-1.3989584
Ethiopia,prostitution,-0.8443898443898444,-11.56616,-9.925163,-1.6409981
Ethiopia,abortion,-0.8496145124716554,-11.002049,-9.746854,-1.255195
Ethiopia,divorce,-0.6464728787467173,-10.962034,-9.724545,-1.2374899
Ethiopia,sex before marriage,-0.7975027144408251,-11.473829,-10.040896,-1.4329325
Ethiopia,suicide,-0.8962238522140723,-11.145685,-9.886647,-1.2590382
Ethiopia,euthanasia,-0.8415553738530026,-10.764081,-9.461565,-1.3025161
